Word,uniqueID,grasp_freq_1,grasp_freq_2,grasp_freq_3,grasp_freq_4,grasp_freq_5,grasp_freq_6,grasp_freq_7
brush,brush,0,0,0,0,2,7,24
brussels sprouts,brussels_sprouts,0,0,1,0,4,14,20
bubble,bubble,16,4,7,2,3,3,1
bubble wrap,bubble_wrap,0,0,0,1,3,12,21
bucket,bucket,0,0,1,1,5,13,15
buckle,buckle,0,0,0,0,6,15,18
buffet,buffet,9,8,3,2,9,4,0
bug,bug,1,5,6,1,8,10,6
buggy,buggy,8,6,3,6,6,5,2
bull,bull,20,8,2,3,3,0,3
bulldozer,bulldozer,18,3,4,3,3,4,1
bullet,bullet,0,0,0,3,6,7,20
bulletin board,bulletin_board,0,2,10,2,10,10,4
bulletproof vest,bulletproof_vest,0,0,2,4,7,14,9
bumper,bumper,0,10,9,6,10,2,2
bun,bun,0,0,0,1,2,6,27
bungee,bungee,0,0,0,1,4,14,18
bunkbed,bunkbed,9,5,2,2,7,7,8
buoy,buoy,1,1,9,3,11,12,3
burner,burner,2,8,4,3,12,6,3
burrito,burrito,0,0,0,3,8,17,8
bus,bus,18,4,5,3,4,2,2
bush,bush,4,6,8,4,6,7,4
butter,butter,0,2,6,5,8,7,8
butterfly,butterfly,3,11,8,3,9,1,4
button,button1,0,0,1,1,1,12,22
button,button2,2,3,4,6,4,5,13
cabbage,cabbage,0,0,2,3,7,11,15
cabinet,cabinet,6,10,5,4,6,4,3
cable,cable,0,0,1,1,13,9,13
cactus,cactus,18,12,4,2,0,0,0
cage,cage,0,3,7,8,4,10,4
cake,cake,2,3,3,5,9,10,5
cake mix,cake_mix,3,6,6,4,6,7,5
calamari,calamari,0,1,0,0,7,13,16
calculator,calculator,0,0,0,1,4,7,26
calf,calf1,1,6,14,2,5,3,3
calf,calf2,0,0,1,4,6,19,4
calzone,calzone,0,0,0,2,6,9,20
camcorder,camcorder,0,0,0,0,11,11,15
camel,camel,8,11,5,3,5,1,2
camera lens,camera_lens,0,1,1,1,6,19,10
camera,camera1,0,0,2,3,5,9,18
camera,camera2,0,0,2,0,12,15,10
camper,camper,16,6,2,4,4,4,2
can,can,0,0,0,1,4,10,23
can opener,can_opener,0,0,0,1,7,10,21
candelabra,candelabra,0,0,0,2,9,18,11
candle,candle,0,0,0,2,5,14,16
candlestick,candlestick,0,0,0,3,6,11,20
candy,candy,0,1,0,1,0,10,21
candy bar,candy_bar,0,0,0,1,0,6,32
candy cane,candy_cane,0,0,0,1,3,8,24
cane,cane,0,0,0,0,3,7,26
canister,canister,0,0,1,2,13,17,5
cannon,cannon,8,17,6,1,3,3,0
cannonball,cannonball,8,11,8,2,4,4,0
canoe,canoe,3,6,15,1,3,6,4
cantaloupe,cantaloupe,0,0,4,3,16,7,7
canvas,canvas,0,1,0,0,12,11,15
cap,cap,0,0,0,0,1,9,29
cape,cape,0,0,0,2,5,15,14
car,car,9,6,0,5,6,5,7
car door,car_door,1,1,1,0,6,18,10
car seat,car_seat,1,2,6,5,10,7,7
caramel,caramel,0,1,0,3,5,12,17
card,card,0,0,1,0,3,7,27
cardboard,cardboard,0,0,1,3,9,13,12
cardigan,cardigan,0,0,0,1,2,11,22
