Word,uniqueID,hold_freq_1,hold_freq_2,hold_freq_3,hold_freq_4,hold_freq_5,hold_freq_6,hold_freq_7
grille,grille,4,12,8,1,12,3,0
grinder,grinder,0,3,3,3,12,10,7
grits,grits,4,2,4,2,12,6,5
groundhog,groundhog,4,5,14,2,7,2,2
guacamole,guacamole,0,2,3,2,6,12,11
guardrail,guardrail,15,7,4,3,4,3,2
guillotine,guillotine,18,10,5,1,2,1,1
guinea pig,guinea_pig,0,2,1,1,12,10,9
guitar,guitar,0,0,1,2,6,15,15
gum,gum,0,0,0,1,1,8,29
gumball,gumball,0,0,0,2,1,4,32
gumdrop,gumdrop,0,0,0,0,0,5,31
gun,gun,0,1,1,0,5,18,13
gurney,gurney,5,10,6,4,8,3,3
gutter,gutter,1,10,8,4,6,3,4
gyro,gyro,0,0,0,0,6,12,21
gyroscope,gyroscope,0,0,0,0,8,15,16
hail,hail,1,2,2,1,8,13,10
hair,hair,0,1,1,5,5,14,14
hairbrush,hairbrush,0,0,1,0,1,7,31
hairdryer,hairdryer,0,0,0,0,2,10,26
hairnet,hairnet,0,0,1,0,0,6,29
hairpin,hairpin,0,0,0,1,0,10,27
hairspray,hairspray,4,3,0,2,4,9,14
ham,ham,0,0,2,3,14,13,6
hamburger,hamburger,0,0,0,1,0,12,25
hammer,hammer,0,0,1,0,3,13,19
hammock,hammock,0,1,6,7,8,11,4
hamster,hamster,0,1,1,2,12,13,9
hand,hand,0,0,1,0,0,12,25
handbrake,handbrake,0,0,1,5,4,6,21
handcuff,handcuff,0,0,1,1,0,11,22
handkerchief,handkerchief,0,0,0,0,0,4,34
handle,handle,0,0,1,1,2,14,21
handlebar,handlebar,1,0,0,0,7,11,16
handprint,handprint,21,4,2,5,3,2,0
hanger,hanger,1,0,0,0,2,12,22
hard disk,hard_disk,0,0,0,3,9,13,12
harmonica,harmonica,0,0,1,0,0,8,27
harness,harness,0,0,0,1,8,18,11
harp,harp,3,10,7,3,4,7,1
hash,hash,1,1,4,3,14,8,7
hat,hat,0,0,0,0,2,11,23
hatbox,hatbox,0,0,2,0,2,11,20
hatchet,hatchet,0,0,1,1,9,16,11
hawk,hawk,4,12,12,2,1,3,1
hay,hay,0,2,6,0,9,9,12
headband,headband,0,0,1,0,0,5,32
headdress,headdress,0,1,3,2,10,11,11
headlamp,headlamp,0,0,0,2,1,12,22
headlight,headlight,3,4,6,4,5,7,4
headphones,headphones,0,0,0,0,3,7,26
headrest,headrest,1,3,4,3,6,9,12
headscarf,headscarf,0,0,0,0,2,9,27
headset,headset,0,0,0,1,1,8,29
hearing aid,hearing_aid,0,0,0,0,2,9,26
hearse,hearse,25,5,3,4,0,0,0
heater,heater,1,9,5,0,20,2,2
hedge,hedge,15,7,5,4,5,3,1
hedgehog,hedgehog,3,8,10,4,9,3,2
helicopter,helicopter,31,4,1,1,0,2,0
helmet,helmet,0,0,0,0,5,14,20
highchair,highchair,0,2,5,0,16,10,3
highlighter,highlighter,0,0,0,0,0,8,30
hinge,hinge,0,2,2,1,7,15,12
hip,hip,2,3,3,5,10,11,6
hippopotamus,hippopotamus,30,5,1,1,0,0,0
hobbyhorse,hobbyhorse,0,0,1,1,1,16,20
hockey stick,hockey_stick,0,0,0,1,4,11,22
hoe,hoe,0,0,1,0,2,15,19
hole,hole,30,2,1,2,0,0,0
holster,holster,0,0,1,0,4,17,18
home plate,home_plate,7,6,8,3,6,4,2
honey,honey,4,5,6,1,10,6,5
honeycomb,honeycomb,1,6,5,5,8,5,6
