Word,uniqueID,moves_freq_1,moves_freq_2,moves_freq_3,moves_freq_4,moves_freq_5,moves_freq_6,moves_freq_7
clipper,clipper2,9,7,1,5,11,2,3
cloak,cloak,12,8,3,1,8,3,2
clock,clock,3,1,0,1,7,18,8
closet,closet,21,11,2,2,0,0,0
clothes,clothes,17,12,0,1,3,0,0
clothesline,clothesline,12,7,4,0,5,5,2
clothespin,clothespin,10,9,3,1,8,4,2
cloud,cloud,0,0,0,2,1,7,27
clove,clove,21,8,4,1,0,0,1
clover,clover,5,9,5,6,9,4,0
coal,coal,15,13,2,4,0,2,0
coaster,coaster,20,10,2,3,0,0,1
coat,coat,19,6,2,2,5,2,1
coat rack,coat_rack,23,9,2,2,2,1,0
cobra,cobra,0,0,0,0,0,4,31
cockatoo,cockatoo,0,0,0,0,1,3,35
cockroach,cockroach,0,0,0,1,1,4,32
cocktail,cocktail,14,15,2,1,3,2,1
coconut,coconut,16,10,4,5,1,1,0
cocoon,cocoon,7,7,4,1,9,3,6
coffee,coffee,20,7,3,2,1,1,1
coffee bean,coffee_bean,20,10,1,1,0,3,0
coffee filter,coffee_filter,23,7,3,0,2,1,0
coffee pot,coffee_pot,12,14,2,3,2,2,1
coffee table,coffee_table,18,9,3,2,3,2,0
coffeemaker,coffeemaker,25,6,2,0,2,0,0
coffin,coffin,18,13,2,4,0,2,0
coil,coil,8,7,3,5,10,3,0
coin,coin,18,9,4,1,2,4,0
coleslaw,coleslaw,24,12,0,0,2,0,0
collar,collar,19,14,3,1,1,0,0
column,column,29,7,0,0,0,0,0
comb,comb,25,7,1,1,2,0,0
combination lock,combination_lock,9,7,3,1,9,7,2
comic book,comic_book,20,10,1,2,2,2,1
compass,compass,6,0,0,1,15,7,6
compost,compost,11,14,4,7,2,0,1
computer,computer,24,11,2,0,1,0,0
computer screen,computer_screen,16,10,4,2,4,1,0
confetti,confetti,8,6,3,2,7,12,1
contact lens,contact_lens,11,11,3,2,5,5,1
container,container,16,7,1,2,7,2,1
cooker,cooker,22,11,2,1,1,2,1
cookie,cookie,27,8,0,0,1,0,0
cookie cutter,cookie_cutter,23,11,0,1,1,0,0
cookie sheet,cookie_sheet,23,8,2,1,1,2,1
cooler,cooler,13,7,3,3,8,4,0
coop,coop,19,9,5,2,1,0,0
copier,copier,17,5,3,1,6,2,2
coral,coral,6,4,7,2,7,5,6
cord,cord,14,11,4,3,3,0,2
cordon bleu,cordon_bleu,25,10,2,0,0,1,0
cork,cork,18,11,5,2,0,0,0
corkboard,corkboard,24,9,0,1,2,2,0
corkscrew,corkscrew,17,6,3,2,6,2,0
corn,corn,19,9,0,4,1,4,1
cornbread,cornbread,25,8,2,1,1,0,1
cornhusk,cornhusk,16,10,4,2,3,1,1
cornmeal,cornmeal,16,14,2,1,3,1,0
cornucopia,cornucopia,19,10,3,2,1,2,0
corsage,corsage,17,11,5,3,1,0,1
corset,corset,18,12,2,3,1,0,0
costume,costume,10,6,7,4,8,2,0
cot,cot,15,11,1,3,5,3,0
cotton candy,cotton_candy,21,8,2,1,4,1,0
couch,couch,15,15,2,2,2,1,0
cougar,cougar,0,0,0,0,0,6,33
counter,counter,25,10,0,1,1,0,0
coverall,coverall,11,17,2,1,5,0,0
cow,cow,0,0,0,1,0,8,31
coyote,coyote,0,0,0,0,0,8,30
crab,crab,0,0,0,0,0,6,31
cracker,cracker,23,8,1,2,1,0,0
cranberry,cranberry,8,16,1,3,3,2,2
crane,crane,2,1,1,2,3,11,18
crank,crank,2,3,1,3,7,10,12
crate,crate,17,7,6,0,2,4,1
crayfish,crayfish,0,0,0,0,1,10,28
crayon,crayon,21,9,2,2,4,0,0
cream,cream,25,7,1,2,2,0,0
cream cheese,cream_cheese,29,8,1,1,0,0,1
credit card,credit_card,27,6,2,3,0,2,0
creme brulee,creme_brulee,18,17,1,0,2,1,0
crepe,crepe,20,16,1,1,1,0,0
crib,crib,19,7,4,4,4,0,0
croissant,croissant,20,11,4,1,0,1,0
cross,cross,27,4,1,3,1,0,0
crossbow,crossbow,9,6,1,7,8,4,1
crouton,crouton,25,4,4,4,0,0,1
crow,crow,0,0,0,2,0,3,34
crowbar,crowbar,15,13,3,1,1,3,1
crown,crown,21,11,2,1,2,0,0
crucifix,crucifix,18,9,2,5,1,0,0
cruise ship,cruise_ship,0,0,0,0,5,11,21
crumb,crumb,20,4,5,5,2,1,0
crutch,crutch,17,5,2,2,7,6,0
crystal ball,crystal_ball,27,4,1,2,3,0,0
crystal,crystal1,11,11,3,5,2,1,1
crystal,crystal2,21,9,3,1,3,1,0
cuckoo clock,cuckoo_clock,3,3,0,1,11,14,6
cucumber,cucumber,17,13,5,1,2,0,1
cufflink,cufflink,19,14,1,0,4,1,0
cummerbund,cummerbund,20,6,5,2,1,1,0
cup,cup,18,13,1,3,1,0,0
cupcake,cupcake,24,11,2,1,2,0,0
curb,curb,34,3,0,0,0,0,0
curling iron,curling_iron,15,7,6,3,7,0,0
curry,curry,21,11,1,1,3,1,0
curtain,curtain,9,5,4,2,9,5,2
cushion,cushion,19,10,2,2,1,0,0
cutting board,cutting_board,19,12,1,2,2,0,1
cymbal,cymbal,7,8,6,4,6,6,1
dagger,dagger,18,12,1,2,3,2,2
daisy,daisy,7,6,4,5,11,2,2
dalmatian,dalmatian,0,0,0,0,0,6,29
dandelion,dandelion,7,1,4,6,8,8,4
dart,dart,8,6,4,3,6,6,5
dartboard,dartboard,24,10,0,2,1,1,0
dashboard,dashboard,11,11,1,4,7,3,2
deer,deer,0,0,0,0,0,4,34
defibrillator,defibrillator,18,10,2,3,5,1,0
denture,denture,9,10,2,5,9,2,1
deodorant,deodorant,24,8,0,1,3,0,1
desk,desk,15,9,3,1,8,1,0
dessert,dessert,29,6,1,1,0,0,0
detonator,detonator,18,9,2,3,5,1,0
dial,dial,4,4,1,1,6,12,10
diamond,diamond,20,9,1,6,1,2,0
diaper,diaper,19,14,2,1,3,0,0
dice,dice,8,6,1,2,8,8,6
dip,dip,17,6,6,1,4,2,0
dirt bike,dirt_bike,1,2,0,2,3,7,24
dish,dish,28,7,1,2,0,0,0
