Word,uniqueID,heavy_freq_1,heavy_freq_2,heavy_freq_3,heavy_freq_4,heavy_freq_5,heavy_freq_6,heavy_freq_7
piglet,piglet,2,9,5,4,10,4,2
pill,pill,33,4,1,0,0,0,0
pillbox,pillbox,28,7,0,1,1,0,0
pillow,pillow,23,9,2,1,1,0,0
pin,pin,34,0,2,0,0,0,0
pinball,pinball,2,1,1,3,4,11,17
pincushion,pincushion,26,6,1,0,1,0,0
pine needle,pine_needle,25,11,1,2,0,0,1
pine tree,pine_tree,0,0,1,1,1,8,26
pineapple,pineapple,4,7,6,6,12,2,0
pinecone,pinecone,24,9,2,1,2,1,0
ping-pong table,ping-pong_table,1,0,1,1,6,18,12
pinwheel,pinwheel,27,7,2,2,0,0,0
pipe,pipe1,18,14,3,1,1,0,0
pipe,pipe2,0,5,5,4,12,7,3
pistachio,pistachio,25,8,1,2,0,0,0
pita,pita,25,13,0,1,0,0,0
pitcher,pitcher,3,9,4,4,14,3,0
pitchfork,pitchfork,2,3,10,3,9,7,2
pizza,pizza,12,13,6,5,2,1,1
place mat,place_mat,26,8,1,1,0,1,0
plant,plant,8,11,6,8,4,0,0
plaster cast,plaster_cast,1,5,1,5,15,9,2
plastic film,plastic_film,27,10,0,0,0,0,0
plate,plate,12,12,4,5,4,0,0
platypus,platypus,1,3,8,6,12,6,1
playing card,playing_card,28,7,0,0,0,0,0
playpen,playpen,1,1,5,3,14,10,5
pliers,pliers,11,8,6,3,6,4,0
plug,plug,20,12,4,2,0,0,0
plum,plum,16,14,2,5,0,2,0
plunger,plunger,15,16,4,0,1,1,0
pocket,pocket,29,6,1,0,0,0,0
pocket watch,pocket_watch,18,10,1,5,2,1,0
pocketknife,pocketknife,13,14,6,2,0,1,0
pogo stick,pogo_stick,5,14,5,2,11,0,0
poinsettia,poinsettia,17,15,3,0,4,1,0
poker,poker,3,7,5,1,12,10,1
polar bear,polar_bear,0,0,0,0,0,4,31
polaroid,polaroid,32,5,0,0,1,1,0
pole,pole,0,0,1,1,11,18,8
police car,police_car,0,0,0,1,2,8,28
polisher,polisher,3,7,9,2,13,3,1
polo shirt,polo_shirt,21,11,0,4,1,0,0
polygraph,polygraph,0,2,0,2,12,14,7
pom-pom,pom-pom,34,6,0,0,0,0,0
pomegranate,pomegranate,15,15,2,1,2,0,0
pony,pony,0,0,0,1,6,14,15
poodle,poodle,0,9,5,3,14,6,0
pool table,pool_table,0,0,0,0,0,11,28
popcorn,popcorn,32,1,1,1,0,0,1
poppy,poppy,29,4,2,0,1,0,0
popsicle,popsicle,27,10,0,1,0,0,0
porcupine,porcupine,5,7,9,3,10,2,1
porthole,porthole,1,4,3,5,4,13,5
possum,possum,9,9,12,3,6,0,0
poster,poster,22,8,3,1,1,0,0
pot,pot,2,5,6,5,12,6,1
potato,potato,7,15,5,2,6,2,0
potholder,potholder,26,7,2,1,0,1,0
pothole,pothole,14,5,2,11,1,0,0
potpie,potpie,16,11,0,2,4,0,1
potpourri,potpourri,27,7,2,0,0,1,0
powder,powder,18,13,4,1,1,0,1
power line,power_line,0,0,1,2,3,12,19
praying mantis,praying_mantis,30,7,0,0,0,0,0
pretzel,pretzel,23,9,3,0,1,0,3
printer,printer,1,1,0,0,16,16,4
prism,prism,8,11,3,8,5,1,0
projector,projector,4,3,6,5,12,10,0
propeller,propeller,0,1,1,0,6,18,11
prune,prune,25,12,0,1,0,0,0
puck,puck,13,14,2,2,4,3,1
pudding,pudding,21,13,1,2,1,1,0
puddle,puddle,12,8,3,11,1,0,0
puffin,puffin,7,16,5,7,3,1,0
pug,pug,5,13,9,3,5,1,1
pulley,pulley,3,6,8,7,12,2,1
pulpit,pulpit,0,0,0,1,1,10,26
pump,pump,0,2,1,0,10,20,6
pumpkin,pumpkin,1,2,0,2,16,14,2
punch,punch1,6,11,3,8,8,2,0
punch,punch2,19,8,2,4,2,1,0
punching bag,punching_bag,1,0,0,0,2,13,21
puppet,puppet,19,8,6,2,2,1,0
puppy,puppy,2,12,10,2,8,0,1
purse,purse,11,5,7,7,6,0,0
quad,quad,0,0,0,0,3,10,24
quesadilla,quesadilla,23,5,3,3,2,1,0
quiche,quiche,10,18,3,2,2,2,0
quill,quill,29,8,0,0,1,1,0
quilt,quilt,4,6,7,5,10,3,0
rabbit,rabbit,6,14,9,3,3,1,0
raccoon,raccoon,5,8,6,5,9,4,0
racehorse,racehorse,0,0,0,0,1,8,31
rack,rack1,1,6,2,4,13,9,2
rack,rack2,0,0,1,1,14,11,13
racket,racket,17,9,4,0,3,1,0
radar,radar,0,1,0,2,9,10,10
radiator,radiator,0,1,0,0,2,17,14
radio,radio,5,9,7,10,8,0,0
radish,radish,22,10,2,2,0,2,0
raft,raft,0,5,4,4,14,10,3
rag,rag,30,6,0,0,0,1,0
railing,railing,2,0,3,7,17,5,2
rain gauge,rain_gauge,13,18,4,1,2,0,0
raincoat,raincoat,23,8,3,2,0,0,0
raisin,raisin,29,2,5,0,0,1,0
rake,rake,12,16,4,1,2,1,1
ram,ram,0,0,0,0,5,21,13
ramp,ramp,0,0,0,0,5,19,14
raspberry,raspberry,29,7,3,0,0,0,0
rat,rat,11,13,10,2,3,0,0
ratchet,ratchet,8,7,7,2,10,3,2
rattle,rattle,23,11,1,0,1,0,0
rattlesnake,rattlesnake,2,10,14,2,8,2,1
ravioli,ravioli,16,16,3,2,1,0,0
razor,razor,20,12,2,0,2,2,1
razor blade,razor_blade,32,6,0,0,0,0,0
ready meal,ready_meal,15,11,9,1,2,0,0
rearview mirror,rearview_mirror,19,16,2,1,0,0,0
recliner,recliner,0,0,0,0,1,22,16
record,record,26,9,2,0,1,0,0
record player,record_player,0,7,6,7,12,4,0
recorder,recorder,23,13,1,0,0,0,0
red carpet,red_carpet,0,4,1,3,12,15,4
reel,reel,4,9,11,4,8,0,0
refrigerator,refrigerator,0,0,0,0,0,10,28
reindeer,reindeer,0,0,0,0,3,15,20
remote control,remote_control,21,12,2,0,0,1,0
retainer,retainer,23,9,0,0,0,0,1
revolver,revolver,4,4,5,2,18,4,2
revolving door,revolving_door,0,0,0,1,5,16,16
